iter	Passed	Remaining
867	4651	707
868	4658	702
869	4662	696
870	4667	691
871	4674	686
872	4678	680
873	4684	675
874	4690	670
875	4694	664
876	4699	659
877	4706	654
878	4710	648
879	4716	643
880	4722	637
881	4726	632
882	4732	627
883	4738	621
884	4741	616
885	4748	610
886	4753	605
887	4758	600
888	4764	594
889	4771	589
890	4774	584
891	4780	578
892	4786	573
893	4790	567
894	4795	562
895	4800	557
896	4806	551
897	4813	546
898	4819	541
899	4822	535
900	4828	530
901	4835	525
902	4839	519
903	4844	514
904	4852	509
905	4859	504
906	4864	498
907	4868	493
908	4875	488
909	4880	482
910	4886	477
911	4891	471
912	4895	466
913	4901	461
914	4908	455
915	4914	450
916	4918	445
917	4924	439
918	4931	434
919	4934	429
920	4940	423
921	4946	418
922	4950	412
923	4956	407
924	4963	402
925	4967	396
926	4973	391
927	4980	386
928	4985	381
929	4991	375
930	4997	370
931	5003	365
932	5007	359
933	5012	354
934	5017	348
935	5022	343
936	5029	338
937	5035	332
938	5039	327
939	5045	322
940	5053	316
941	5058	311
942	5063	306
943	5067	300
944	5071	295
945	5077	289
946	5082	284
947	5086	279
948	5092	273
949	5098	268
950	5101	262
951	5107	257
952	5111	252
953	5117	246
954	5123	241
955	5127	235
956	5133	230
957	5139	225
958	5143	219
959	5149	214
960	5155	209
961	5159	203
962	5164	198
963	5170	193
964	5174	187
965	5181	182
966	5187	177
967	5196	171
968	5203	166
969	5207	161
970	5213	155
971	5218	150
972	5223	144
973	5229	139
974	5234	134
975	5238	128
976	5244	123
977	5248	118
978	5253	112
979	5260	107
980	5264	101
981	5270	96
982	5276	91
983	5282	85
984	5286	80
985	5292	75
986	5296	69
987	5302	64
988	5308	59
989	5313	53
990	5319	48
991	5325	42
992	5331	37
993	5335	32
994	5341	26
995	5347	21
996	5352	16
997	5358	10
998	5364	5
999	5368	0
